Person No,Predicted Personality
1,dependable
2,serious
3,serious
4,serious
5,responsible
6,serious
7,serious
8,serious
9,serious
10,serious
11,serious
12,responsible
13,extraverted
14,serious
15,lively
16,extraverted
17,serious
18,serious
19,serious
20,serious
21,serious
22,extraverted
23,serious
24,serious
25,serious
26,serious
27,extraverted
28,extraverted
29,extraverted
30,serious
31,serious
32,lively
33,serious
34,serious
35,serious
36,serious
37,serious
38,serious
39,serious
40,serious
41,responsible
42,responsible
43,serious
44,lively
45,serious
46,serious
47,extraverted
48,serious
49,serious
50,extraverted
51,serious
52,serious
53,serious
54,extraverted
55,serious
56,serious
57,extraverted
58,serious
59,serious
60,serious
61,responsible
62,serious
63,serious
64,serious
65,serious
66,serious
67,serious
68,serious
69,serious
70,serious
71,serious
72,serious
73,serious
74,serious
75,serious
76,extraverted
77,serious
78,serious
79,serious
80,extraverted
81,serious
82,serious
83,serious
84,extraverted
85,serious
86,serious
87,serious
88,serious
89,serious
90,serious
91,serious
92,responsible
93,serious
94,serious
95,serious
96,serious
97,serious
98,extraverted
99,serious
100,serious
101,extraverted
102,extraverted
103,extraverted
104,extraverted
105,serious
106,serious
107,serious
108,extraverted
109,serious
110,serious
111,serious
112,serious
113,serious
114,serious
115,serious
116,extraverted
117,serious
118,serious
119,serious
120,extraverted
121,lively
122,serious
123,serious
124,serious
125,serious
126,serious
127,serious
128,serious
129,serious
130,serious
131,serious
132,serious
133,serious
134,serious
135,serious
136,serious
137,serious
138,serious
139,serious
140,serious
141,serious
142,serious
143,serious
144,serious
145,serious
146,extraverted
147,serious
148,serious
149,serious
150,serious
151,serious
152,serious
153,extraverted
154,extraverted
155,serious
156,extraverted
157,extraverted
158,dependable
159,serious
160,serious
161,serious
162,serious
163,serious
164,responsible
165,serious
166,serious
167,serious
168,extraverted
169,serious
170,serious
171,responsible
172,extraverted
173,serious
174,serious
175,serious
176,serious
177,serious
178,extraverted
179,extraverted
180,serious
181,serious
182,serious
183,serious
184,serious
185,extraverted
186,serious
187,serious
188,serious
189,serious
190,serious
191,serious
192,serious
193,serious
194,serious
195,serious
196,serious
197,serious
198,serious
199,serious
200,responsible
201,extraverted
202,extraverted
203,responsible
204,extraverted
205,extraverted
206,extraverted
207,responsible
208,extraverted
209,serious
210,serious
211,extraverted
212,dependable
213,serious
214,serious
215,serious
216,serious
217,lively
218,serious
219,extraverted
220,serious
221,dependable
222,responsible
223,serious
224,serious
225,serious
226,lively
227,serious
228,serious
229,serious
230,serious
231,serious
232,serious
233,serious
234,extraverted
235,extraverted
236,extraverted
237,extraverted
238,dependable
239,serious
240,extraverted
241,dependable
242,serious
243,serious
244,extraverted
245,serious
246,extraverted
247,serious
248,serious
249,extraverted
250,serious
251,extraverted
252,extraverted
253,serious
254,extraverted
255,serious
256,serious
257,extraverted
258,extraverted
259,serious
260,serious
261,extraverted
262,serious
263,serious
264,serious
265,serious
266,extraverted
267,serious
268,serious
269,extraverted
270,serious
271,serious
272,serious
273,extraverted
274,serious
275,extraverted
276,serious
277,serious
278,serious
279,serious
280,responsible
281,extraverted
282,serious
283,serious
284,serious
285,responsible
286,serious
287,serious
288,serious
289,extraverted
290,extraverted
291,extraverted
292,extraverted
293,lively
294,responsible
295,lively
296,lively
297,dependable
298,responsible
299,dependable
300,extraverted
301,serious
302,serious
303,serious
304,serious
305,extraverted
306,serious
307,extraverted
308,serious
309,extraverted
310,responsible
311,extraverted
312,extraverted
313,serious
314,serious
315,responsible
316,extraverted
317,serious
318,dependable
319,serious
320,dependable
321,serious
322,extraverted
323,extraverted
324,extraverted
325,extraverted
326,serious
327,serious
328,serious
329,extraverted
330,extraverted
331,extraverted
332,serious
333,extraverted
334,extraverted
335,serious
336,serious
337,serious
338,serious
339,serious
340,serious
341,serious
342,serious
343,serious
344,serious
345,dependable
346,serious
347,serious
348,extraverted
349,extraverted
